,level_0,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,subset,fold
0,0,richness,0.2654019094677714,72.58610846292495,0.518934911827849,3.4231080031773584e-230,0.49797834140027625,2.7127951403853604e-209,train,1
1,1,LNC_cm,0.18774400370553046,2.536456343784588,0.43451595158412404,3.265494612314187e-154,0.4255970731947047,2.2887763061568615e-147,train,1
2,2,SLA_cm,0.6593961669095133,3.4201187682219496,0.8159389079389385,0.0,0.819855328698635,0.0,train,1
3,3,PLH_cm,0.72893496046822,24.956820185613292,0.8545623769133256,0.0,0.8459712625558439,0.0,train,1
4,4,LNC_cstd,0.02941095959931017,1.5563947966892242,0.31234804641050573,1.2022617688494275e-76,0.29689758251654697,4.356277592928399e-69,train,1
5,5,SLA_cstd,0.14121731348905187,1.2235041563954154,0.38837173817904264,6.180796823494e-121,0.377943787452241,4.0387959433834016e-114,train,1
6,6,PLH_cstd,0.4329895059929566,16.381220252198126,0.6622774296196717,0.0,0.6807466095814282,0.0,train,1
7,7,average,0.34929925994747907,17.522946137975367,,,,,train,1
8,8,weighted,0.48017001340848775,,,,,,train,1
9,9,richness,0.26256584491905477,72.01903163702615,0.5157522907290781,7.202059996328167e-77,0.5072590763431852,5.143958571823798e-74,test,1
10,10,LNC_cm,0.20262201648713585,2.5644728713671174,0.4502863479969085,8.11299325066011e-57,0.45080045000957014,5.862568062233704e-57,test,1
11,11,SLA_cm,0.6793544177063211,3.3070314156822502,0.8264564777873711,3.3719281345738686e-280,0.8286967449288485,4.78847458125011e-283,test,1
12,12,PLH_cm,0.7530933580291461,23.822356401298748,0.8679803364664678,0.0,0.8706733030575444,0.0,test,1
13,13,LNC_cstd,0.03655593736735252,1.6079726091918005,0.3332868206499456,2.3388609184670694e-30,0.34074855607892285,9.704574609393824e-32,test,1
14,14,SLA_cstd,0.14358538303426993,1.1728162936338369,0.3906122221833602,5.446247738113659e-42,0.38064066650116746,8.562930255008094e-40,test,1
15,15,PLH_cstd,0.4730457906458213,15.262637475740187,0.6917996280955707,1.0195705783018357e-159,0.7221338655923594,1.6793189625351603e-180,test,1
16,16,average,0.36440324974130023,17.108045529134298,,,,,test,1
17,17,weighted,0.5003428987646236,,,,,,test,1
18,18,richness,0.2652325928271667,72.8999907437269,0.5183636171994838,1.3296434194513457e-229,0.4999452024812476,3.415284744218084e-211,train,2
19,19,LNC_cm,0.18552311408756694,2.580895552019357,0.43228603139540217,1.7573813101646265e-152,0.42692363383397447,2.2615465509129534e-148,train,2
20,20,SLA_cm,0.6588658522324101,3.433398651068828,0.815199001461588,0.0,0.8190973465105299,0.0,train,2
21,21,PLH_cm,0.7332116641515973,24.81625839929358,0.8567334356410102,0.0,0.8525590985560556,0.0,train,2
22,22,LNC_cstd,0.028409867773659836,1.5592387669763599,0.31373649816773436,2.3882068051932164e-77,0.30479988456457663,6.765902001759698e-73,train,2
23,23,SLA_cstd,0.14286028097672132,1.1961332104139988,0.38959598957540065,9.430647210712029e-122,0.377407793826337,8.909776498639344e-114,train,2
24,24,PLH_cstd,0.4423050053977092,16.026197422406533,0.6693301958871726,0.0,0.6920462179338799,0.0,train,2
25,25,average,0.35091548249240445,17.501730392272226,,,,,train,2
26,26,weighted,0.48351547133422085,,,,,,train,2
27,27,richness,0.2629295850523159,71.0776660511443,0.5174306591913729,1.9226024552983742e-77,0.5011558822973657,5.162562928184136e-72,test,2
28,28,LNC_cm,0.21192891470647346,2.4311950667418736,0.4604060879560658,1.2217448252783775e-59,0.4459862636844803,1.2019960885492005e-55,test,2
29,29,SLA_cm,0.6821526656199008,3.267203666678214,0.829151238812035,1.2514600090722178e-283,0.8318723886812474,3.7303775354362565e-287,test,2
30,30,PLH_cm,0.7419314396808151,24.243915808836455,0.8622494161248504,0.0,0.8535376588328702,1.07941e-317,test,2
31,31,LNC_cstd,0.0386832030715446,1.5994432466908663,0.33032170489796153,8.085314360406628e-30,0.31886781709771206,8.578563645434156e-28,test,2
32,32,SLA_cstd,0.13864731966503918,1.2549046056408275,0.3869131377757287,3.629125477236556e-41,0.3772241848170872,4.6542423120230134e-39,test,2
33,33,PLH_cstd,0.446800190623728,16.327387844299736,0.6718136022657837,2.215520193500397e-147,0.6902359715089473,1.023062437748524e-158,test,2
34,34,average,0.3604390454885453,17.171673755718896,,,,,test,2
35,35,weighted,0.4914801829292033,,,,,,test,2
36,36,richness,0.2611507637896383,72.16037633419938,0.514181704109314,2.5320334926503995e-225,0.5035331051759483,1.0846802398354331e-214,train,3
37,37,LNC_cm,0.1956798171442542,2.5768993322955103,0.44289136826147113,7.863194088442353e-161,0.43338717537108357,2.464655723870799e-153,train,3
38,38,SLA_cm,0.6705738350743058,3.361754590530527,0.8219615116749571,0.0,0.8262525761883281,0.0,train,3
39,39,PLH_cm,0.7404352570056398,24.192341833105818,0.8608648458830457,0.0,0.8562270563031,0.0,train,3
40,40,LNC_cstd,0.03755573305956661,1.5685094525585008,0.32356548411843766,1.9973999601917688e-82,0.3111384644396458,4.880107202843147e-76,train,3
41,41,SLA_cstd,0.13090288329160005,1.2150208955875195,0.37891432299584715,9.603077492062686e-115,0.3683440834152468,4.603141721543582e-108,train,3
42,42,PLH_cstd,0.4500738086717322,16.1389918612065,0.6742097306857693,0.0,0.6941346577293103,0.0,train,3
43,43,average,0.3551960140052482,17.316270614211962,,,,,train,3
44,44,weighted,0.48779990909959353,,,,,,train,3
45,45,richness,0.2751013363488004,73.29584654280076,0.5293217636123664,1.3393362279799818e-81,0.49130861374975876,7.211655651829572e-69,test,3
46,46,LNC_cm,0.1801230850875638,2.4431801450713677,0.42763997665540954,7.762688774957907e-51,0.42731035450608473,9.413624402717197e-51,test,3
47,47,SLA_cm,0.6473940173515831,3.4820716511062564,0.8094985081815318,6.812577592311247e-260,0.8107814207164931,2.341510997381334e-261,test,3
48,48,PLH_cm,0.7207344644061112,26.11510644237629,0.8503628382903969,6.4227231225e-313,0.8418582184377043,1.1740155760109796e-300,test,3
49,49,LNC_cstd,0.011819753647509756,1.5716394970103769,0.30041925890247856,1.0374417279930493e-24,0.2992510948124845,1.5988887160363572e-24,test,3
50,50,SLA_cstd,0.17360178608871435,1.1982584745693459,0.42000445615884435,6.401011612637679e-49,0.4084392452955326,4.131637758081383e-46,test,3
51,51,PLH_cstd,0.42288664845752655,15.989105598185498,0.6569688938251725,7.928697513477257e-139,0.6837054530720151,1.3316685628978294e-154,test,3
52,52,average,0.3473801559125441,17.727886907302842,,,,,test,3
53,53,weighted,0.4790868551471165,,,,,,test,3
54,54,richness,0.2670797608770259,72.13084807699042,0.5205779573883353,5.8151439579320486e-232,0.4995005050276073,7.97451540202033e-211,train,4
55,55,LNC_cm,0.1988625058194875,2.4796160277267862,0.44636182313788575,1.1218199027588187e-163,0.441571718595427,8.009953275239252e-160,train,4
56,56,SLA_cm,0.6704674962878996,3.352102244488907,0.8220915959113801,0.0,0.824438673831638,0.0,train,4
57,57,PLH_cm,0.7391157602142395,24.727126217503834,0.8603652413337286,0.0,0.8560398261496838,0.0,train,4
58,58,LNC_cstd,0.029469486128069877,1.5930184509643477,0.32161328020086,1.9972401871425659e-81,0.3211847700369301,3.343430505192082e-81,train,4
59,59,SLA_cstd,0.15254890229969154,1.2086597912813366,0.39953178926449806,1.5149120233021242e-128,0.3892953467292214,1.3791856312100846e-121,train,4
60,60,PLH_cstd,0.44858791209561055,15.859710306075138,0.6741782774142777,0.0,0.698554345010429,0.0,train,4
61,61,average,0.3580188319602892,17.335868730718683,,,,,train,4
62,62,weighted,0.4907520726958536,,,,,,train,4
63,63,richness,0.2572258990656354,73.38552912158484,0.5101906128510487,6.324467474361991e-75,0.5023694992154405,2.4067550046137336e-72,test,4
64,64,LNC_cm,0.17099050353387846,2.7351718800568956,0.41744329450617834,3.018567460069968e-48,0.403046958902071,8.465270398813929e-45,test,4
65,65,SLA_cm,0.647461624358713,3.5111625673465423,0.8087831168786992,7.507436374092333e-259,0.8145560405275782,1.7122175769661887e-265,test,4
66,66,PLH_cm,0.723697564115318,24.511038859994862,0.8510029058099146,1.3614826007e-313,0.8418104838875743,2.5375746041584254e-300,test,4
67,67,LNC_cstd,0.03651473641474423,1.4980493655141232,0.30700384983689377,9.174113145093454e-26,0.2718925491916115,2.3872095271045553e-20,test,4
68,68,SLA_cstd,0.10832952900886583,1.2173438690052933,0.35694109810899516,7.675554639770261e-35,0.3454284125263448,1.344259692437023e-32,test,4
69,69,PLH_cstd,0.4277052690708797,16.827567266631032,0.6573686022718821,6.28524402342781e-139,0.6677265206477732,7.556656949710498e-145,test,4
70,70,average,0.33884644650971923,17.669408990019086,,,,,test,4
71,71,weighted,0.4693709155961188,,,,,,test,4
